id	block	version	maxoffer	secondoffer	myoffer
da1cd9f2-f5b8-4e59-a111-464c4af524df	4	control	159	100	20
da1cd9f2-f5b8-4e59-a111-464c4af524df	5	control	300	159	20
da1cd9f2-f5b8-4e59-a111-464c4af524df	6	control	161	159	20
5aae63b2-df86-4711-96e1-28d8b4774d0d	4	control	159	100	50
5aae63b2-df86-4711-96e1-28d8b4774d0d	5	control	300	159	50
5aae63b2-df86-4711-96e1-28d8b4774d0d	6	control	161	159	50
ce9fdb7a-02a7-40be-add0-bfa3e83f0c35	4	control	211	180	0
ce9fdb7a-02a7-40be-add0-bfa3e83f0c35	5	control	211	200	0
ce9fdb7a-02a7-40be-add0-bfa3e83f0c35	6	control	220	211	0
bf3851c6-714f-456a-b8bd-d79e53dcec2d	4	control	211	180	100
bf3851c6-714f-456a-b8bd-d79e53dcec2d	5	control	211	200	200
bf3851c6-714f-456a-b8bd-d79e53dcec2d	6	control	220	211	211
e2cd1e1e-5341-4fbb-a34c-5f05c94b7f1e	4	control	159	100	100
e2cd1e1e-5341-4fbb-a34c-5f05c94b7f1e	5	treatment	300	159	300
e2cd1e1e-5341-4fbb-a34c-5f05c94b7f1e	6	treatment	161	159	161
592ca275-599c-4c37-afa4-eb087ae7e513	4	control	211	180	180
592ca275-599c-4c37-afa4-eb087ae7e513	5	treatment	211	200	211
592ca275-599c-4c37-afa4-eb087ae7e513	6	control	220	211	211
d68aa525-ca85-4281-8ecc-bce7a76525e7	4	treatment	211	180	211
d68aa525-ca85-4281-8ecc-bce7a76525e7	5	control	211	200	150
d68aa525-ca85-4281-8ecc-bce7a76525e7	6	treatment	220	211	220
5bb12bec-c05b-4083-8d38-4784fdeb981b	4	treatment	159	100	159
5bb12bec-c05b-4083-8d38-4784fdeb981b	5	control	300	159	159
5bb12bec-c05b-4083-8d38-4784fdeb981b	6	control	161	159	159
de672a8f-d10a-43ea-9f26-a87160fe8e11	4	treatment	300	250	300
de672a8f-d10a-43ea-9f26-a87160fe8e11	5	control	300	250	250
de672a8f-d10a-43ea-9f26-a87160fe8e11	6	treatment	300	250	300
8d26c891-2273-4db6-a123-ebb06e91b864	4	treatment	300	287	300
8d26c891-2273-4db6-a123-ebb06e91b864	5	control	151	150	27
8d26c891-2273-4db6-a123-ebb06e91b864	6	control	201	165	27
95c976b9-f5b3-4467-a80e-acf77ac4e9bc	4	control	300	250	250
95c976b9-f5b3-4467-a80e-acf77ac4e9bc	5	control	300	250	250
95c976b9-f5b3-4467-a80e-acf77ac4e9bc	6	control	300	250	250
af0811ac-c3a2-499e-9747-0909fabd27d3	4	control	300	287	100
af0811ac-c3a2-499e-9747-0909fabd27d3	5	control	151	150	100
af0811ac-c3a2-499e-9747-0909fabd27d3	6	control	201	165	165
ecec852a-c88f-4e08-8099-6155407ae3cf	4	control	300	250	75
ecec852a-c88f-4e08-8099-6155407ae3cf	5	control	300	250	100
ecec852a-c88f-4e08-8099-6155407ae3cf	6	control	300	250	125
68175172-e643-4081-8918-396922cbf82b	4	control	300	287	287
68175172-e643-4081-8918-396922cbf82b	5	control	151	150	150
68175172-e643-4081-8918-396922cbf82b	6	control	201	165	136
830690d6-1d3b-415f-b407-7f20f8ac02b7	4	control	300	250	129
830690d6-1d3b-415f-b407-7f20f8ac02b7	5	treatment	300	250	300
830690d6-1d3b-415f-b407-7f20f8ac02b7	6	control	300	250	1
e6bf85ac-33b0-4795-be51-f0543728d234	4	control	300	287	151
e6bf85ac-33b0-4795-be51-f0543728d234	5	treatment	151	150	151
e6bf85ac-33b0-4795-be51-f0543728d234	6	treatment	201	165	201
57a7f3e8-5c2e-45ac-a179-d34bce9b1cc5	4	control	275	250	30
57a7f3e8-5c2e-45ac-a179-d34bce9b1cc5	5	control	300	250	205
57a7f3e8-5c2e-45ac-a179-d34bce9b1cc5	6	control	260	200	200
e02029e5-a438-4890-9af5-464b42cce971	4	control	300	152	2
e02029e5-a438-4890-9af5-464b42cce971	5	control	299	0	0
e02029e5-a438-4890-9af5-464b42cce971	6	control	152	0	0
e422837e-197c-4f81-9f6f-7cd6501036de	4	treatment	300	152	300
49a108b4-7f02-4394-9e4d-fb98d2817f0a	4	control	300	152	152
49a108b4-7f02-4394-9e4d-fb98d2817f0a	5	treatment	299	0	299
49a108b4-7f02-4394-9e4d-fb98d2817f0a	6	treatment	152	0	152
f380c4e1-4001-4fd7-aa7b-8e38dcd61b84	4	control	300	152	0
f380c4e1-4001-4fd7-aa7b-8e38dcd61b84	5	control	299	0	0
f380c4e1-4001-4fd7-aa7b-8e38dcd61b84	6	control	152	0	0
7fab4fd6-e257-4af1-a753-b434d7bc13b2	4	treatment	275	250	275
7fab4fd6-e257-4af1-a753-b434d7bc13b2	5	control	300	250	120
7fab4fd6-e257-4af1-a753-b434d7bc13b2	6	control	260	200	120
49be27bc-9f90-4bb8-a487-e590faf658a4	4	control	275	250	200
49be27bc-9f90-4bb8-a487-e590faf658a4	5	control	300	250	250
49be27bc-9f90-4bb8-a487-e590faf658a4	6	treatment	260	200	260
b43c7502-7446-4e23-88fb-61a21fd37cee	4	control	250	50	50
b43c7502-7446-4e23-88fb-61a21fd37cee	5	control	290	50	50
b43c7502-7446-4e23-88fb-61a21fd37cee	6	control	285	250	50
6a900c9f-f05e-4274-add0-efb54795f6a8	4	control	275	250	250
6a900c9f-f05e-4274-add0-efb54795f6a8	5	treatment	300	250	300
6a900c9f-f05e-4274-add0-efb54795f6a8	6	control	260	200	0
2533feca-b1b1-4868-82a6-1ed3e83c10e1	4	treatment	250	50	250
2533feca-b1b1-4868-82a6-1ed3e83c10e1	5	treatment	290	50	290
2533feca-b1b1-4868-82a6-1ed3e83c10e1	6	control	285	250	250
56d4f951-5784-4a09-9279-2faf91bd0471	4	control	250	50	10
56d4f951-5784-4a09-9279-2faf91bd0471	5	control	290	50	15
56d4f951-5784-4a09-9279-2faf91bd0471	6	treatment	285	250	285
83047a1b-ff96-477a-b426-3c6293d45167	4	treatment	140	120	140
83047a1b-ff96-477a-b426-3c6293d45167	5	treatment	150	120	150
83047a1b-ff96-477a-b426-3c6293d45167	6	treatment	150	140	150
1da122c6-3eee-4928-8429-695c69980611	4	control	140	120	50
1da122c6-3eee-4928-8429-695c69980611	5	control	150	120	70
1da122c6-3eee-4928-8429-695c69980611	6	control	150	140	70
3ecf331c-b5dd-405c-86e3-002ec955e370	4	control	140	120	120
3ecf331c-b5dd-405c-86e3-002ec955e370	5	control	150	120	120
3ecf331c-b5dd-405c-86e3-002ec955e370	6	control	150	140	140
558f1433-0791-4f2a-ae39-b8ed7b220be4	4	control	250	50	0
558f1433-0791-4f2a-ae39-b8ed7b220be4	5	control	290	50	0
558f1433-0791-4f2a-ae39-b8ed7b220be4	6	control	285	250	0
ad14534b-9204-43b6-b454-948f2095f858	4	control	140	120	50
ad14534b-9204-43b6-b454-948f2095f858	5	control	150	120	30
ad14534b-9204-43b6-b454-948f2095f858	6	control	150	140	60
a4ded15a-bf9f-4b4c-ad06-f919264ec546	4	control	50	50	10
a4ded15a-bf9f-4b4c-ad06-f919264ec546	5	control	55	50	50
a4ded15a-bf9f-4b4c-ad06-f919264ec546	6	treatment	60	51	60
e81ba0f8-e68a-44a4-b053-9b54cd8e0ee2	4	control	50	50	50
e81ba0f8-e68a-44a4-b053-9b54cd8e0ee2	5	treatment	55	50	55
e81ba0f8-e68a-44a4-b053-9b54cd8e0ee2	6	control	60	51	51
b77ef74b-fdb9-4d4b-8536-af850b49e8bd	4	treatment	280	200	280
b77ef74b-fdb9-4d4b-8536-af850b49e8bd	5	control	299	290	290
b77ef74b-fdb9-4d4b-8536-af850b49e8bd	6	treatment	290	280	290
e70e9573-58bb-4ea5-a13f-edcc1ec4b84c	4	control	300	120	120
e70e9573-58bb-4ea5-a13f-edcc1ec4b84c	5	control	200	120	120
e70e9573-58bb-4ea5-a13f-edcc1ec4b84c	6	treatment	160	150	160
1e131d19-7703-4c1a-a50b-54f91055a198	4	treatment	300	250	300
1e131d19-7703-4c1a-a50b-54f91055a198	5	control	300	300	0
1e131d19-7703-4c1a-a50b-54f91055a198	6	control	300	200	200
ca1440e7-0d2d-48eb-b270-5e0c84eefc8c	4	control	280	200	50
ca1440e7-0d2d-48eb-b270-5e0c84eefc8c	5	control	299	290	230
ca1440e7-0d2d-48eb-b270-5e0c84eefc8c	6	control	290	280	150
5cd06121-b886-4998-b994-f9858e91ab25	4	control	300	250	100
5cd06121-b886-4998-b994-f9858e91ab25	5	control	300	300	300
5cd06121-b886-4998-b994-f9858e91ab25	6	treatment	300	200	300
bdd762ab-6e69-4d9e-801b-5aff4ffe7767	4	treatment	50	50	50
bdd762ab-6e69-4d9e-801b-5aff4ffe7767	5	control	55	50	35
bdd762ab-6e69-4d9e-801b-5aff4ffe7767	6	control	60	51	50
df850586-902e-4c0d-93ee-161bb3de9d9c	4	control	300	120	0
df850586-902e-4c0d-93ee-161bb3de9d9c	5	control	200	120	0
df850586-902e-4c0d-93ee-161bb3de9d9c	6	control	160	150	10
468580d7-233c-491b-ac68-da623ba767b7	4	treatment	300	120	300
468580d7-233c-491b-ac68-da623ba767b7	5	treatment	200	120	200
468580d7-233c-491b-ac68-da623ba767b7	6	control	160	150	150
89170ab0-f9cc-469f-860c-a96506565ae7	4	control	300	250	60
89170ab0-f9cc-469f-860c-a96506565ae7	5	control	300	300	10
89170ab0-f9cc-469f-860c-a96506565ae7	6	control	300	200	40
6efa0fba-a600-46b5-aacd-0129dce45149	4	control	300	250	250
6efa0fba-a600-46b5-aacd-0129dce45149	5	treatment	300	300	300
6efa0fba-a600-46b5-aacd-0129dce45149	6	control	300	200	200
51ecaff0-a4ad-48a9-a78f-e3d164eb1f78	4	control	50	50	0
51ecaff0-a4ad-48a9-a78f-e3d164eb1f78	5	control	55	50	0
51ecaff0-a4ad-48a9-a78f-e3d164eb1f78	6	control	60	51	0
c5647960-3bfd-4a9a-91a6-3adf918174d8	4	control	280	200	200
c5647960-3bfd-4a9a-91a6-3adf918174d8	5	control	299	290	250
c5647960-3bfd-4a9a-91a6-3adf918174d8	6	control	290	280	280
d05ea89a-2169-4607-b690-a16c9207fedd	4	control	280	200	2
d05ea89a-2169-4607-b690-a16c9207fedd	5	treatment	299	290	299
d05ea89a-2169-4607-b690-a16c9207fedd	6	control	290	280	2
cd04c1d8-28e6-4699-b0b5-0da984c4bd93	4	control	300	120	0
cd04c1d8-28e6-4699-b0b5-0da984c4bd93	5	control	200	120	0
cd04c1d8-28e6-4699-b0b5-0da984c4bd93	6	control	160	150	0
e5943ddd-a69d-4fe8-8c3c-8591fc4f423d	4	treatment	220	50	220
e5943ddd-a69d-4fe8-8c3c-8591fc4f423d	5	treatment	250	100	250
e5943ddd-a69d-4fe8-8c3c-8591fc4f423d	6	treatment	250	100	250
37436751-10d5-40ff-9ffe-75633fb404fe	4	control	200	150	50
37436751-10d5-40ff-9ffe-75633fb404fe	5	control	300	185	50
37436751-10d5-40ff-9ffe-75633fb404fe	6	control	185	180	50
04b7e20c-d390-4631-9ffb-decdce1c9769	4	control	170	150	1
04b7e20c-d390-4631-9ffb-decdce1c9769	5	treatment	150	130	150
04b7e20c-d390-4631-9ffb-decdce1c9769	6	control	151	140	2
fba9d3cf-c16c-4a04-82ae-c5e825e9dfb6	4	control	170	150	50
fba9d3cf-c16c-4a04-82ae-c5e825e9dfb6	5	control	150	130	50
fba9d3cf-c16c-4a04-82ae-c5e825e9dfb6	6	control	151	140	60
d738ba38-120f-4106-b451-239f7f5b3c21	4	control	220	50	0
d738ba38-120f-4106-b451-239f7f5b3c21	5	control	250	100	0
d738ba38-120f-4106-b451-239f7f5b3c21	6	control	250	100	0
6363a5b6-072e-4460-91ca-6f8aebd1f7a0	4	control	200	150	129
6363a5b6-072e-4460-91ca-6f8aebd1f7a0	5	treatment	300	185	300
6363a5b6-072e-4460-91ca-6f8aebd1f7a0	6	control	185	180	100
3f5e3315-b27b-40eb-814b-ee157ac4dac2	4	control	220	50	50
3f5e3315-b27b-40eb-814b-ee157ac4dac2	5	control	250	100	100
3f5e3315-b27b-40eb-814b-ee157ac4dac2	6	control	250	100	100
37407775-058f-4d25-baac-052cf1462b5a	4	control	220	50	5
